,Timestamp,Emotion,Emotion_Value
0,2021-11-20 18:43:44.167032,not paying attention,-1
1,2021-11-20 18:43:44.641385,not paying attention,-1
2,2021-11-20 18:43:44.914730,not paying attention,-1
3,2021-11-20 18:43:45.203264,not paying attention,-1
4,2021-11-20 18:43:45.488256,not paying attention,-1
5,2021-11-20 18:43:45.760733,not paying attention,-1
6,2021-11-20 18:43:46.049933,not paying attention,-1
7,2021-11-20 18:43:46.416023,not paying attention,-1
8,2021-11-20 18:43:46.805796,not paying attention,-1
9,2021-11-20 18:43:47.148821,not paying attention,-1
10,2021-11-20 18:43:47.546457,not paying attention,-1
11,2021-11-20 18:43:48.086343,neutral,0.8
12,2021-11-20 18:43:48.409438,not paying attention,-1
13,2021-11-20 18:43:48.864022,neutral,0.881
14,2021-11-20 18:43:49.304860,neutral,0.864
15,2021-11-20 18:43:49.726514,neutral,0.869
16,2021-11-20 18:43:50.053141,not paying attention,-1
17,2021-11-20 18:43:50.356440,not paying attention,-1
18,2021-11-20 18:43:50.668120,not paying attention,-1
19,2021-11-20 18:43:50.970127,not paying attention,-1
20,2021-11-20 18:43:51.258500,not paying attention,-1
21,2021-11-20 18:43:51.559373,not paying attention,-1
22,2021-11-20 18:43:52.016955,neutral,0.947
23,2021-11-20 18:43:52.447141,neutral,0.85
24,2021-11-20 18:43:52.734853,not paying attention,-1
25,2021-11-20 18:43:53.195934,neutral,0.664
26,2021-11-20 18:43:53.531950,not paying attention,-1
27,2021-11-20 18:43:53.956008,neutral,0.921
28,2021-11-20 18:43:54.346957,neutral,0.848
29,2021-11-20 18:43:54.750250,neutral,0.729
30,2021-11-20 18:43:55.149047,neutral,0.665
31,2021-11-20 18:43:55.567241,neutral,0.69
32,2021-11-20 18:43:55.929249,neutral,0.817
33,2021-11-20 18:43:56.329090,neutral,0.734
34,2021-11-20 18:43:56.586521,not paying attention,-1
35,2021-11-20 18:43:56.995487,neutral,0.736
36,2021-11-20 18:43:57.275122,not paying attention,-1
37,2021-11-20 18:43:57.715135,neutral,0.852
38,2021-11-20 18:43:58.034134,not paying attention,-1
39,2021-11-20 18:43:58.453430,neutral,0.614
40,2021-11-20 18:43:58.887729,neutral,0.704
41,2021-11-20 18:43:59.153936,not paying attention,-1
42,2021-11-20 18:43:59.573091,neutral,0.867
43,2021-11-20 18:43:59.945546,neutral,0.548
44,2021-11-20 18:44:00.366985,surprise,0.967
45,2021-11-20 18:44:00.794873,surprise,0.932
46,2021-11-20 18:44:01.228113,surprise,0.991
47,2021-11-20 18:44:01.540497,not paying attention,-1
48,2021-11-20 18:44:01.984926,surprise,1.0
49,2021-11-20 18:44:02.396022,surprise,0.994
50,2021-11-20 18:44:02.724899,not paying attention,-1
51,2021-11-20 18:44:03.126486,happiness,0.997
52,2021-11-20 18:44:03.429500,not paying attention,-1
53,2021-11-20 18:44:03.738482,not paying attention,-1
54,2021-11-20 18:44:04.149118,happiness,0.997
55,2021-11-20 18:44:04.566410,happiness,0.998
56,2021-11-20 18:44:04.962716,happiness,0.999
57,2021-11-20 18:44:05.372404,happiness,0.997
58,2021-11-20 18:44:05.814602,happiness,0.986
59,2021-11-20 18:44:06.296386,happiness,0.994
60,2021-11-20 18:44:06.743763,happiness,0.992
61,2021-11-20 18:44:07.173601,happiness,0.982
62,2021-11-20 18:44:07.473171,not paying attention,-1
63,2021-11-20 18:44:07.879666,happiness,0.995
64,2021-11-20 18:44:08.312441,happiness,0.994
65,2021-11-20 18:44:08.609178,not paying attention,-1
66,2021-11-20 18:44:09.030716,happiness,0.993
67,2021-11-20 18:44:09.476559,happiness,0.999
68,2021-11-20 18:44:09.782000,not paying attention,-1
69,2021-11-20 18:44:10.094635,not paying attention,-1
70,2021-11-20 18:44:10.388966,not paying attention,-1
71,2021-11-20 18:44:10.847727,neutral,0.633
72,2021-11-20 18:44:11.178190,not paying attention,-1
73,2021-11-20 18:44:11.504806,not paying attention,-1
74,2021-11-20 18:44:11.816561,not paying attention,-1
75,2021-11-20 18:44:12.097822,not paying attention,-1
76,2021-11-20 18:44:12.387986,not paying attention,-1
77,2021-11-20 18:44:12.639785,not paying attention,-1
78,2021-11-20 18:44:12.905425,not paying attention,-1
79,2021-11-20 18:44:13.178695,not paying attention,-1
80,2021-11-20 18:44:13.443441,not paying attention,-1
81,2021-11-20 18:44:13.725549,not paying attention,-1
82,2021-11-20 18:44:13.981870,not paying attention,-1
83,2021-11-20 18:44:14.382849,neutral,0.618
84,2021-11-20 18:44:14.643908,not paying attention,-1
85,2021-11-20 18:44:15.053088,neutral,0.676
86,2021-11-20 18:44:15.424760,neutral,0.916
87,2021-11-20 18:44:15.778208,neutral,0.581
88,2021-11-20 18:44:16.188890,neutral,0.585
89,2021-11-20 18:44:16.593755,neutral,0.609
90,2021-11-20 18:44:16.958260,neutral,0.81
91,2021-11-20 18:44:17.385958,neutral,0.787
92,2021-11-20 18:44:17.651586,not paying attention,-1
93,2021-11-20 18:44:17.913881,not paying attention,-1
94,2021-11-20 18:44:18.173791,not paying attention,-1
95,2021-11-20 18:44:18.472385,not paying attention,-1
96,2021-11-20 18:44:18.726143,not paying attention,-1
97,2021-11-20 18:44:19.014267,not paying attention,-1
98,2021-11-20 18:44:19.305028,not paying attention,-1
99,2021-11-20 18:44:19.844678,neutral,0.58
100,2021-11-20 18:44:20.346836,neutral,0.989
101,2021-11-20 18:44:20.725499,neutral,0.983
102,2021-11-20 18:44:20.980836,not paying attention,-1
103,2021-11-20 18:44:21.268716,not paying attention,-1
104,2021-11-20 18:44:21.626010,neutral,0.982
105,2021-11-20 18:44:21.940819,not paying attention,-1
106,2021-11-20 18:44:22.194069,not paying attention,-1
107,2021-11-20 18:44:22.570983,neutral,0.998
108,2021-11-20 18:44:22.842910,not paying attention,-1
109,2021-11-20 18:44:23.218617,not paying attention,-1
110,2021-11-20 18:44:23.597923,neutral,0.992
111,2021-11-20 18:44:23.979137,neutral,0.974
112,2021-11-20 18:44:24.374135,neutral,0.99
113,2021-11-20 18:44:24.722453,neutral,0.992
114,2021-11-20 18:44:25.079533,neutral,0.995
115,2021-11-20 18:44:25.482624,neutral,0.995
116,2021-11-20 18:44:25.855708,neutral,0.995
117,2021-11-20 18:44:26.244796,neutral,0.988
118,2021-11-20 18:44:26.515857,not paying attention,-1
119,2021-11-20 18:44:26.986962,neutral,0.983
120,2021-11-20 18:44:27.443066,not paying attention,-1
121,2021-11-20 18:44:27.858161,neutral,0.991
122,2021-11-20 18:44:28.252334,neutral,0.996
123,2021-11-20 18:44:28.542209,not paying attention,-1
124,2021-11-20 18:44:28.938922,neutral,0.952
125,2021-11-20 18:44:29.471812,neutral,0.981
126,2021-11-20 18:44:29.734298,not paying attention,-1
127,2021-11-20 18:44:29.997301,not paying attention,-1
128,2021-11-20 18:44:30.310757,not paying attention,-1
129,2021-11-20 18:44:30.730852,neutral,0.99
130,2021-11-20 18:44:30.989169,not paying attention,-1
131,2021-11-20 18:44:31.243577,not paying attention,-1
132,2021-11-20 18:44:31.570808,not paying attention,-1
133,2021-11-20 18:44:31.845439,not paying attention,-1
134,2021-11-20 18:44:32.142263,not paying attention,-1
135,2021-11-20 18:44:32.427205,not paying attention,-1
136,2021-11-20 18:44:32.733405,not paying attention,-1
137,2021-11-20 18:44:33.115470,neutral,0.991
138,2021-11-20 18:44:33.491400,neutral,0.996
139,2021-11-20 18:44:33.776444,not paying attention,-1
140,2021-11-20 18:44:34.035007,not paying attention,-1
141,2021-11-20 18:44:34.278269,not paying attention,-1
